report_date,location,location_type,time_period,data_field_original,value,data_field_code,data_field,unit,time_period_type
2016-01-30,Brazil-Pernambuco,state,NA,cases_confirmed,153,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Piaui,state,NA,cases_confirmed,27,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Rio_Grande_do_Norte,state,NA,cases_confirmed,63,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Sergipe,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Espirito_Santo,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Minas_Gerais,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Rio_de_Janeiro,state,NA,cases_confirmed,2,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Sao_Paulo,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Acre,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Amapa,state,NA,cases_confirmed,NA,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Amazonas,state,NA,cases_confirmed,NA,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Para,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Rondonia,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Roraima,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Tocantins,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Distrito_Federal,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Goias,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Mato_Grosso,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Mato_Grosso_do_Sul,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Parana,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Santa_Catarina,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Rio_Grande_do_Sul,state,NA,cases_confirmed,1,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Alagoas,state,NA,cases_discarded,66,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Bahia,state,NA,cases_discarded,46,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Ceara,state,NA,cases_discarded,10,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Maranhao,state,NA,cases_discarded,16,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Paraiba,state,NA,cases_discarded,253,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Pernambuco,state,NA,cases_discarded,135,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Piaui,state,NA,cases_discarded,10,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Rio_Grande_do_Norte,state,NA,cases_discarded,15,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Sergipe,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Espirito_Santo,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Minas_Gerais,state,NA,cases_discarded,37,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Rio_de_Janeiro,state,NA,cases_discarded,10,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Sao_Paulo,state,NA,cases_discarded,25,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Acre,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Amapa,state,NA,cases_discarded,NA,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Amazonas,state,NA,cases_discarded,NA,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Para,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Rondonia,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Roraima,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Tocantins,state,NA,cases_discarded,17,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Distrito_Federal,state,NA,cases_discarded,12,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Goias,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Mato_Grosso,state,NA,cases_discarded,46,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Mato_Grosso_do_Sul,state,NA,cases_discarded,1,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Parana,state,NA,cases_discarded,9,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Santa_Catarina,state,NA,cases_discarded,1,BR0003,microcephaly_not,cases,NA
2016-01-30,Brazil-Rio_Grande_do_Sul,state,NA,cases_discarded,0,BR0003,microcephaly_not,cases,NA
